candidate,xy_transform,alt_mode,east_m,north_m,alt_m,delta_norm_xy_m,delta_norm_3d_m,cosine_vs_p13_xy,cosine_vs_p12_xy,distance_to_p13_xy_m,distance_to_p12_xy_m,distance_to_p13_3d_m,distance_to_p12_3d_m,axis_sign_east_matches_p13,axis_sign_north_matches_p13,axis_sign_alt_matches_p13,axis_sign_east_matches_p12,axis_sign_north_matches_p12,axis_sign_alt_matches_p12,chamfer,overlap,valid_depth_ratio,beats_initial_chamfer,beats_initial_overlap,objective_chamfer_minus_overlap
identity__raw_alt,identity,raw_alt,1.0790679772035219,-6.1980915744788945,-9.527802128985513,6.29132155155436,11.417519006953885,-0.33114601711477837,-0.17151690123626298,10.095827144937278,7.419914738612128,13.881813251501162,12.076181024536456,False,False,False,False,False,False,10.122520446777344,0.32804642166344294,0.9993217607702349,False,False,9.794474025113901
identity__neg_alt,identity,neg_alt,1.0790679772035219,-6.1980915744788945,9.527802128985513,6.29132155155436,11.417519006953885,-0.33114601711477837,-0.17151690123626298,10.095827144937278,7.419914738612128,13.881813251501162,12.076181024536456,False,False,False,False,False,False,7.468568325042725,0.46704774714189645,0.9961396458877284,False,False,7.001520577900828
identity__freeze_alt,identity,freeze_alt,1.0790679772035219,-6.1980915744788945,0.0,6.29132155155436,6.29132155155436,-0.33114601711477837,-0.17151690123626298,10.095827144937278,7.419914738612128,10.095827144937278,7.419914738612128,False,False,True,False,False,True,8.600885391235352,0.35356489945155395,0.9980264768276762,False,False,8.247320491783798
identity__small_alt,identity,small_alt,1.0790679772035219,-6.1980915744788945,-2.3819505322463783,6.29132155155436,6.7271401949952825,-0.33114601711477837,-0.17151690123626298,10.095827144937278,7.419914738612128,10.373013741363751,7.792870014721297,False,False,False,False,False,False,8.891752243041992,0.3330871491875923,0.9983987434725848,False,False,8.5586650938544
flip_east__raw_alt,flip_east,raw_alt,-1.0790679772035219,-6.1980915744788945,-9.527802128985513,6.29132155155436,11.417519006953885,0.0072204413131570526,0.17151690123626298,8.719409056098232,6.4889382029598055,12.915382599701363,11.527590052171881,True,False,False,True,False,False,9.170933723449707,0.3977186311787072,0.9990514849869452,False,False,8.773215092271
flip_east__neg_alt,flip_east,neg_alt,-1.0790679772035219,-6.1980915744788945,9.527802128985513,6.29132155155436,11.417519006953885,0.0072204413131570526,0.17151690123626298,8.719409056098232,6.4889382029598055,12.915382599701363,11.527590052171881,True,False,False,True,False,False,7.4401140213012695,0.5182113234763793,0.9955124020887729,False,False,6.9219026978248905
flip_east__freeze_alt,flip_east,freeze_alt,-1.0790679772035219,-6.1980915744788945,0.0,6.29132155155436,6.29132155155436,0.0072204413131570526,0.17151690123626298,8.719409056098232,6.4889382029598055,8.719409056098232,6.4889382029598055,True,False,True,True,False,True,8.128523826599121,0.4080058758721998,0.9975573188642297,False,False,7.720517950726921
flip_east__small_alt,flip_east,small_alt,-1.0790679772035219,-6.1980915744788945,-2.3819505322463783,6.29132155155436,6.7271401949952825,0.0072204413131570526,0.17151690123626298,8.719409056098232,6.4889382029598055,9.038903839826856,6.912308394443931,True,False,False,True,False,False,8.787327766418457,0.3823870220162225,0.9979805809399478,False,False,8.404940744402234
flip_north__raw_alt,flip_north,raw_alt,1.0790679772035219,6.1980915744788945,-9.527802128985513,6.29132155155436,11.417519006953885,-0.0072204413131570526,-0.17151690123626298,8.782559959518457,7.419914738612128,12.958100665284157,12.076181024536456,False,True,False,False,False,False,10.029426574707031,0.31052420968387356,0.9992095708224543,False,False,9.718902365023158
flip_north__neg_alt,flip_north,neg_alt,1.0790679772035219,6.1980915744788945,9.527802128985513,6.29132155155436,11.417519006953885,-0.0072204413131570526,-0.17151690123626298,8.782559959518457,7.419914738612128,12.958100665284157,12.076181024536456,False,True,False,False,False,False,6.695219039916992,0.6206896551724138,0.9959101664490861,True,True,6.0745293847445785
