frame_index,frame_id,init_source,selected_method,yaw_policy,yaw_pred,yaw_obs_corrected,yaw_obs_delta_deg,accepted_yaw_delta_deg,yaw_obs_trusted,selected_yaw_source,refine_success,elapsed_ms,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,raw_refined_east,raw_refined_north,raw_refined_alt,raw_refined_yaw,selected_east,selected_north,selected_alt,selected_yaw,raw_delta_east_m,raw_delta_north_m,raw_delta_alt_m,applied_delta_east_m,applied_delta_north_m,applied_delta_alt_m,init_xy_error_m,raw_refined_xy_error_m,selected_xy_error_m,init_alt_error_m,raw_refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,raw_refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,raw_refined_chamfer,selected_chamfer,init_overlap,raw_refined_overlap,selected_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,failure_reason,renderer_backend_init,renderer_backend_raw_refined,renderer_backend_selected,selected_yaw_score
0,000000.jpg,gt_first_pose,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.19999999999999,29.199630381322663,-0.00036961867732543396,0.0,True,prediction,True,928.511095999994,254476.43692124507,3364552.994355502,109.956,29.19999999999999,254476.43692124507,3364552.994355502,109.956,29.19999999999999,254476.42363375303,3364553.00794081,109.95618468523026,-150.80036961867734,254476.45050655276,3364552.98106801,109.956,29.19999999999999,-0.013287492038216442,0.013585308101028204,0.0001846852302520574,0.013585308101028204,-0.013287492038216442,0.0,0.0,0.019003106084678048,0.01900310583409011,0.0,0.0001846852302520574,0.0,0.0,179.99963038132267,0.0,0.05480720475316048,0.11400056630373001,0.07844845950603485,0.9912320022950996,0.9840418855677682,0.9884886410500081,1.1370242039750641e-05,1.8229124179924838e-05,-6.858882140174197e-06,,prototype,prototype,prototype,1.7415684899706525
1,000001.jpg,previous_frame_refine_only:000000.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.19999999999999,29.20172291212924,0.001722912129253018,0.001722912129253018,True,clamped_raw_observation,True,110.6133299999783,254476.92477416995,3364553.8672732455,110.231,29.19999999999999,254476.45050655276,3364552.98106801,109.956,29.19999999999999,254477.47702398064,3364552.799867586,109.8938666144386,-150.79827708787076,254476.26930612916,3364554.0075854375,109.956,29.20172291212924,1.0265174278756604,-0.1812004237435758,-0.06213338556140968,-0.1812004237435758,1.0265174278756604,0.0,1.0051315795129248,1.2018047656676192,0.6703177334104007,0.2749999999999915,0.33713338556140116,0.2749999999999915,0.0,179.99827708787075,0.001722912129253018,0.7224449515342712,0.7383249402046204,0.5957159399986267,0.9579379969623872,0.9378897525238988,0.9568480300187617,0.000600372770956407,0.0007886405219323933,-0.00018826775097598636,,prototype,prototype,prototype,1.0427579127069877
2,000002.jpg,previous_frame_refine_only:000001.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.20172291212924,29.207394449323345,0.005671537194103848,0.0,True,prediction,True,117.30545500000744,254477.4126366352,3364554.740190791,109.979,29.19999999999999,254476.26930612916,3364554.0075854375,109.956,29.20172291212924,254477.19910321798,3364554.40953139,110.13986825570464,-150.79260555067665,254476.6712520814,3364554.9373825267,109.956,29.20172291212924,0.9297970888146665,0.40194595232605934,0.18386825570463827,0.40194595232605934,0.9297970888146665,0.0,1.3579084100136418,0.39361422717725175,0.7671607636399377,0.022999999999996135,0.16086825570464214,0.022999999999996135,0.001722912129253018,179.99260555067664,0.001722912129253018,0.7486973404884338,0.4423855245113373,0.6302310824394226,0.9322003673520338,0.9628724789129233,0.9563635715177345,0.0007891227821043382,0.00024276221180722737,0.0005463605702971108,,prototype,prototype,prototype,1.0373118945434432
3,000003.jpg,previous_frame_refine_only:000002.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.20172291212924,29.20541930122991,0.0036963891006678296,0.0,True,prediction,True,113.53244899999027,254477.90049927725,3364555.6131194406,109.536,29.19999999999999,254476.6712520814,3364554.9373825267,109.956,29.20172291212924,254477.8590935933,3364555.4481139276,109.85020911041647,-150.7945806987701,254477.1819834818,3364556.1252240394,109.956,29.20172291212924,1.1878415118844714,0.5107314009219408,-0.10579088958353111,0.5107314009219408,1.1878415118844714,0.0,1.4027362707733917,0.17012128022515174,0.8823355758617636,0.4200000000000017,0.3142091104164706,0.4200000000000017,0.001722912129253018,179.99458069877008,0.001722912129253018,0.7532128095626831,0.29884111881256104,0.6529833078384399,0.9278439094245055,0.9692293922849727,0.9617112682359259,0.0008129942289087921,0.00010394989658379927,0.0007090443323249929,,prototype,prototype,prototype,1.0531189043315323
4,000004.jpg,previous_frame_refine_only:000003.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.20172291212924,29.204541341740452,0.0028184296112101492,0.0,True,prediction,True,122.21018799999683,254478.38835198412,3364556.486037237,109.094,29.19999999999999,254477.1819834818,3364556.1252240394,109.956,29.20172291212924,254477.8761757118,3364556.694333561,109.93427158053964,-150.79545865825955,254477.7510930041,3364556.8194162697,109.956,29.20172291212924,0.6941922300029546,0.5691095218062401,-0.021728419460359305,0.5691095218062401,0.6941922300029546,0.0,1.2591708093034584,0.5529121924554103,0.7191944013677233,0.862000000000009,0.8402715805396497,0.862000000000009,0.001722912129253018,179.99545865825954,0.001722912129253018,0.7365624904632568,0.5535385608673096,0.606814444065094,0.9439849155949268,0.9576106871586887,0.9579664514292829,0.000716380881688868,0.00035848282277584076,0.0003578980589130273,,prototype,prototype,prototype,1.0152002244269176
5,000005.jpg,previous_frame_refine_only:000004.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.20172291212924,29.200575887502055,-0.0011470246271869655,-0.0011470246271869655,True,clamped_raw_observation,True,122.4199879999901,254478.87621448273,3364557.358965922,108.652,29.19999999999999,254477.7510930041,3364556.8194162697,109.956,29.20172291212924,254478.64530241044,3364557.195528232,110.1339009841904,-150.79942411249795,254478.1272049666,3364557.713625676,109.956,29.200575887502055,0.8942094063386321,0.3761119623668492,0.17790098419040135,0.3761119623668492,0.8942094063386321,0.0,1.2478029368362231,0.2828997413969631,0.8287332479651556,1.304000000000002,1.4819009841904034,1.304000000000002,0.001722912129253018,179.99942411249793,0.0005758875020660525,0.7226092219352722,0.37441572546958923,0.649297297000885,0.9419567934297447,0.9650419567934297,0.9574897339760757,0.0006872252221607292,0.0001585435044641296,0.0005286817176965997,,prototype,prototype,prototype,1.1164383770845654
6,000006.jpg,previous_frame_refine_only:000005.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.200575887502055,29.199778561623987,-0.0007973258780680226,-0.0007973258780680226,True,clamped_raw_observation,True,128.32834400001047,254479.36407665766,3364558.231883538,108.413,29.19999999999999,254478.1272049666,3364557.713625676,109.956,29.200575887502055,254478.85220033326,3364558.08727851,110.11874576099217,-150.800221438376,254478.50085780004,3364558.4386210414,109.956,29.199778561623987,0.724995366676012,0.3736528339795768,0.1627457609921663,0.3736528339795768,0.724995366676012,0.0,1.3410603236447227,0.5319097532409981,0.887630098328879,1.5430000000000064,1.7057457609921727,1.5430000000000064,0.0005758875020660525,179.999778561624,0.00022143837600197003,0.7443281412124634,0.5396299362182617,0.6670668721199036,0.9334186257263181,0.9589530358761128,0.9581356504433427,0.0007742481053962061,0.0003261074307374656,0.0004481406746587405,,prototype,prototype,prototype,1.1081305622232256
7,000007.jpg,previous_frame_refine_only:000006.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.199778561623987,29.203477389971937,0.0036988283479502115,0.0,True,prediction,True,271.3653890000103,254479.85193876142,3364559.104801173,108.167,29.19999999999999,254478.50085780004,3364558.4386210414,109.956,29.199778561623987,254479.30784552492,3364559.08918151,110.15090263914317,-150.79652261002806,254479.1514182684,3364559.2456087656,109.956,29.199778561623987,0.8069877248781268,0.6505604684352875,0.19490263914316586,0.6505604684352875,0.8069877248781268,0.0,1.5063916263034065,0.5443173925945963,0.7145318322797095,1.7890000000000015,1.9839026391431673,1.7890000000000015,0.00022143837600197003,179.99652261002805,0.00022143837600197003,0.7690842151641846,0.6387444138526917,0.6277697682380676,0.9181528662420382,0.9534324133050248,0.9524239207360227,0.0009066726100475838,0.000469943387239861,0.0004367292228077228,,prototype,prototype,prototype,0.9906220675447143
8,000008.jpg,previous_frame_refine_only:000007.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.199778561623987,29.201563194713827,0.0017846330898407814,0.0,True,prediction,True,130.8968840000091,254480.3397914293,3364559.977730127,108.096,29.19999999999999,254479.1514182684,3364559.2456087656,109.956,29.199778561623987,254480.35405392724,3364559.6105112922,109.84954310301691,-150.79843680528617,254479.51632079523,3364560.448244424,109.956,29.199778561623987,1.2026356588467024,0.3649025266058743,-0.10645689698309013,0.3649025266058743,1.2026356588467024,0.0,1.3957909791186311,0.3674957026819003,0.9484131952147996,1.8599999999999994,1.7535431030169093,1.8599999999999994,0.00022143837600197003,179.99843680528616,0.00022143837600197003,0.7534120678901672,0.4690861105918884,0.6807451844215393,0.9270363397392632,0.9601612731341693,0.9582785691449682,0.0008360933085593084,0.0002521218411857262,0.0005839714673735822,,prototype,prototype,prototype,1.1053265329626656
9,000009.jpg,previous_frame_refine_only:000008.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.199778561623987,29.19325734851401,-0.006521213109976998,-0.006521213109976998,True,clamped_raw_observation,True,113.68498600000976,254480.82765338855,3364560.850647796,108.107,29.19999999999999,254479.51632079523,3364560.448244424,109.956,29.199778561623987,254480.33591627964,3364561.279892225,110.16982419136912,-150.806742651486,254480.34796859624,3364561.267839908,109.956,29.19325734851401,0.8195954844122753,0.8316478007473052,0.21382419136911324,0.8316478007473052,0.8195954844122753,0.0,1.371685694321509,0.652729778697261,0.6357253797429978,1.8490000000000038,2.062824191369117,1.8490000000000038,0.00022143837600197003,179.99325734851402,0.006742651485978968,0.764532208442688,0.5857542157173157,0.5719137787818909,0.9309876303576785,0.9578796915529989,0.9588678512819608,0.000820102907406787,0.0004029407524891819,0.00041716215491760517,,prototype,prototype,prototype,0.9079319122167423
