frame,render,alpha_overlay,diff_x4,edge_overlay,mae_rgb,mse_rgb,psnr_db,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_iou
000000.jpg,direct_render/000000_direct_render.jpg,alpha/000000_direct_query_alpha.jpg,diff/000000_direct_query_diff_x4.jpg,edges/000000_direct_query_edges.jpg,2.3340945773654513,10.190919876098633,38.048669738111435,1.0,45015,44658,0.8207346043735153
000001.jpg,direct_render/000001_direct_render.jpg,alpha/000001_direct_query_alpha.jpg,diff/000001_direct_query_diff_x4.jpg,edges/000001_direct_query_edges.jpg,2.338404337565104,10.202028274536133,38.04393838040317,1.0,44704,44197,0.8160109490542141
000002.jpg,direct_render/000002_direct_render.jpg,alpha/000002_direct_query_alpha.jpg,diff/000002_direct_query_diff_x4.jpg,edges/000002_direct_query_edges.jpg,2.339163886176215,10.187844276428223,38.049980628178716,1.0,44655,44151,0.8179696616102684
000003.jpg,direct_render/000003_direct_render.jpg,alpha/000003_direct_query_alpha.jpg,diff/000003_direct_query_diff_x4.jpg,edges/000003_direct_query_edges.jpg,2.338290744357639,10.19254207611084,38.047978479171235,1.0,45014,44566,0.820805723809911
000004.jpg,direct_render/000004_direct_render.jpg,alpha/000004_direct_query_alpha.jpg,diff/000004_direct_query_diff_x4.jpg,edges/000004_direct_query_edges.jpg,2.345947265625,10.25490665435791,38.02148649326058,1.0,45049,44494,0.8127581180662402
000005.jpg,direct_render/000005_direct_render.jpg,alpha/000005_direct_query_alpha.jpg,diff/000005_direct_query_diff_x4.jpg,edges/000005_direct_query_edges.jpg,2.347537570529514,10.26113510131836,38.018849551631135,1.0,45130,44449,0.8168339924956901
000006.jpg,direct_render/000006_direct_render.jpg,alpha/000006_direct_query_alpha.jpg,diff/000006_direct_query_diff_x4.jpg,edges/000006_direct_query_edges.jpg,2.343477037217882,10.253633499145508,38.022025706953926,1.0,45378,44716,0.8202278972038145
000007.jpg,direct_render/000007_direct_render.jpg,alpha/000007_direct_query_alpha.jpg,diff/000007_direct_query_diff_x4.jpg,edges/000007_direct_query_edges.jpg,2.343514336480035,10.256264686584473,38.020911405769674,1.0,45575,45152,0.8215346932219724
000008.jpg,direct_render/000008_direct_render.jpg,alpha/000008_direct_query_alpha.jpg,diff/000008_direct_query_diff_x4.jpg,edges/000008_direct_query_edges.jpg,2.346282958984375,10.281982421875,38.010035038081284,1.0,45596,45266,0.821319756254009
000009.jpg,direct_render/000009_direct_render.jpg,alpha/000009_direct_query_alpha.jpg,diff/000009_direct_query_diff_x4.jpg,edges/000009_direct_query_edges.jpg,2.3443196614583335,10.265625,38.01694965292017,1.0,45629,45374,0.8209340483432047
000010.jpg,direct_render/000010_direct_render.jpg,alpha/000010_direct_query_alpha.jpg,diff/000010_direct_query_diff_x4.jpg,edges/000010_direct_query_edges.jpg,2.352784898546007,10.328075408935547,37.99060960660182,1.0,45527,44734,0.8166284265185364
000011.jpg,direct_render/000011_direct_render.jpg,alpha/000011_direct_query_alpha.jpg,diff/000011_direct_query_diff_x4.jpg,edges/000011_direct_query_edges.jpg,2.3491923014322915,10.306111335754395,37.999855310833745,1.0,45862,45017,0.8185256333293313
000012.jpg,direct_render/000012_direct_render.jpg,alpha/000012_direct_query_alpha.jpg,diff/000012_direct_query_diff_x4.jpg,edges/000012_direct_query_edges.jpg,2.3549024793836804,10.36146354675293,37.97659257448366,1.0,45377,44836,0.8235900545785324
000013.jpg,direct_render/000013_direct_render.jpg,alpha/000013_direct_query_alpha.jpg,diff/000013_direct_query_diff_x4.jpg,edges/000013_direct_query_edges.jpg,2.352725558810764,10.35914421081543,37.97756481894225,1.0,45625,44904,0.8170851648903072
000014.jpg,direct_render/000014_direct_render.jpg,alpha/000014_direct_query_alpha.jpg,diff/000014_direct_query_diff_x4.jpg,edges/000014_direct_query_edges.jpg,2.355765448676215,10.371044158935547,37.9725787741664,1.0,45642,45199,0.8173652095628688
000015.jpg,direct_render/000015_direct_render.jpg,alpha/000015_direct_query_alpha.jpg,diff/000015_direct_query_diff_x4.jpg,edges/000015_direct_query_edges.jpg,2.3533460828993054,10.37266731262207,37.971899120776754,1.0,45449,44771,0.8178887344093171
000016.jpg,direct_render/000016_direct_render.jpg,alpha/000016_direct_query_alpha.jpg,diff/000016_direct_query_diff_x4.jpg,edges/000016_direct_query_edges.jpg,2.3525627983940973,10.359432220458984,37.97744407609164,1.0,45548,44730,0.8148520424573817
000017.jpg,direct_render/000017_direct_render.jpg,alpha/000017_direct_query_alpha.jpg,diff/000017_direct_query_diff_x4.jpg,edges/000017_direct_query_edges.jpg,2.3599378797743054,10.4071044921875,37.95750445764955,1.0,45394,45133,0.8229359645590012
000018.jpg,direct_render/000018_direct_render.jpg,alpha/000018_direct_query_alpha.jpg,diff/000018_direct_query_diff_x4.jpg,edges/000018_direct_query_edges.jpg,2.3606686062282987,10.440834999084473,37.943451283900174,1.0,45435,45116,0.8190237042989152
000019.jpg,direct_render/000019_direct_render.jpg,alpha/000019_direct_query_alpha.jpg,diff/000019_direct_query_diff_x4.jpg,edges/000019_direct_query_edges.jpg,2.3633236355251737,10.455259323120117,37.93745551719634,1.0,45827,45271,0.8199580461492358
000020.jpg,direct_render/000020_direct_render.jpg,alpha/000020_direct_query_alpha.jpg,diff/000020_direct_query_diff_x4.jpg,edges/000020_direct_query_edges.jpg,2.3647596571180554,10.45994758605957,37.93550852545272,1.0,45615,45407,0.8221893017296604
000021.jpg,direct_render/000021_direct_render.jpg,alpha/000021_direct_query_alpha.jpg,diff/000021_direct_query_diff_x4.jpg,edges/000021_direct_query_edges.jpg,2.36236572265625,10.451531410217285,37.93900430776925,1.0,46280,45774,0.8226710226710227
000022.jpg,direct_render/000022_direct_render.jpg,alpha/000022_direct_query_alpha.jpg,diff/000022_direct_query_diff_x4.jpg,edges/000022_direct_query_edges.jpg,2.37054443359375,10.535430908203125,37.904280575419534,1.0,46341,45507,0.8183041989190901
000023.jpg,direct_render/000023_direct_render.jpg,alpha/000023_direct_query_alpha.jpg,diff/000023_direct_query_diff_x4.jpg,edges/000023_direct_query_edges.jpg,2.366219414605035,10.492612838745117,37.921967125072946,1.0,45978,45360,0.8252632841070322
000024.jpg,direct_render/000024_direct_render.jpg,alpha/000024_direct_query_alpha.jpg,diff/000024_direct_query_diff_x4.jpg,edges/000024_direct_query_edges.jpg,2.370149400499132,10.508601188659668,37.915354504035854,1.0,45926,44957,0.8185692846423211
000025.jpg,direct_render/000025_direct_render.jpg,alpha/000025_direct_query_alpha.jpg,diff/000025_direct_query_diff_x4.jpg,edges/000025_direct_query_edges.jpg,2.368477715386285,10.514409065246582,37.91295491540703,1.0,46199,45637,0.8208061542121855
