frame,alpha_overlay,edge_overlay,refined_render,refined_xy_error_m,refined_yaw_error_deg,refined_chamfer,refined_overlap
000000.jpg,alpha/000000_refined_query_alpha.jpg,edges/000000_refined_query_edges.jpg,refined_render/000000_refined_render.jpg,7.384971803186866,177.96158825165168,1.2344903945922852,0.7537043207819616
000001.jpg,alpha/000001_refined_query_alpha.jpg,edges/000001_refined_query_edges.jpg,refined_render/000001_refined_render.jpg,7.259983430503767,177.96060231215824,1.2458521127700806,0.7503802791696492
000002.jpg,alpha/000002_refined_query_alpha.jpg,edges/000002_refined_query_edges.jpg,refined_render/000002_refined_render.jpg,6.966447622902469,177.95642194961795,1.2101218700408936,0.760900235136043
000003.jpg,alpha/000003_refined_query_alpha.jpg,edges/000003_refined_query_edges.jpg,refined_render/000003_refined_render.jpg,7.355925994043998,177.9565256775128,1.2615858316421509,0.7485226818323188
000004.jpg,alpha/000004_refined_query_alpha.jpg,edges/000004_refined_query_edges.jpg,refined_render/000004_refined_render.jpg,7.2077550614305546,177.9344453457618,1.2813628911972046,0.7470088126262514
000005.jpg,alpha/000005_refined_query_alpha.jpg,edges/000005_refined_query_edges.jpg,refined_render/000005_refined_render.jpg,7.751717267321246,177.96718151167136,1.257514476776123,0.7524927985818746
000006.jpg,alpha/000006_refined_query_alpha.jpg,edges/000006_refined_query_edges.jpg,refined_render/000006_refined_render.jpg,7.1710555378740315,177.950672120415,1.242349624633789,0.7551236281898718
000007.jpg,alpha/000007_refined_query_alpha.jpg,edges/000007_refined_query_edges.jpg,refined_render/000007_refined_render.jpg,7.138648637152404,177.95722973319226,1.25838303565979,0.7482830499177181
000008.jpg,alpha/000008_refined_query_alpha.jpg,edges/000008_refined_query_edges.jpg,refined_render/000008_refined_render.jpg,7.1335234682627515,177.96142041230542,1.242679476737976,0.7533994210018423
000009.jpg,alpha/000009_refined_query_alpha.jpg,edges/000009_refined_query_edges.jpg,refined_render/000009_refined_render.jpg,7.406686905014851,177.9661424490953,1.2498176097869873,0.7472879090052379
000010.jpg,alpha/000010_refined_query_alpha.jpg,edges/000010_refined_query_edges.jpg,refined_render/000010_refined_render.jpg,7.300840835416602,177.9500126227116,1.2723541259765625,0.7478419399477233
000011.jpg,alpha/000011_refined_query_alpha.jpg,edges/000011_refined_query_edges.jpg,refined_render/000011_refined_render.jpg,7.343115042405412,177.96683733107204,1.2477047443389893,0.7500545113601674
000012.jpg,alpha/000012_refined_query_alpha.jpg,edges/000012_refined_query_edges.jpg,refined_render/000012_refined_render.jpg,7.536679172871999,177.9683881331656,1.251006841659546,0.7511514643982634
000013.jpg,alpha/000013_refined_query_alpha.jpg,edges/000013_refined_query_edges.jpg,refined_render/000013_refined_render.jpg,7.317455039957562,177.94476503078943,1.2418465614318848,0.757786301369863
000014.jpg,alpha/000014_refined_query_alpha.jpg,edges/000014_refined_query_edges.jpg,refined_render/000014_refined_render.jpg,7.359409505640408,177.95813860958333,1.2606316804885864,0.7489154725910345
000015.jpg,alpha/000015_refined_query_alpha.jpg,edges/000015_refined_query_edges.jpg,refined_render/000015_refined_render.jpg,7.345128083339558,177.96358598258394,1.239707589149475,0.7581244911879249
000016.jpg,alpha/000016_refined_query_alpha.jpg,edges/000016_refined_query_edges.jpg,refined_render/000016_refined_render.jpg,7.424903764501164,177.9565054744719,1.2549328804016113,0.7500219548608061
000017.jpg,alpha/000017_refined_query_alpha.jpg,edges/000017_refined_query_edges.jpg,refined_render/000017_refined_render.jpg,7.507576537817078,177.95774648578015,1.269516944885254,0.7511565405119619
000018.jpg,alpha/000018_refined_query_alpha.jpg,edges/000018_refined_query_edges.jpg,refined_render/000018_refined_render.jpg,7.194532215805089,177.9544953387384,1.2162926197052002,0.7627819962583912
000019.jpg,alpha/000019_refined_query_alpha.jpg,edges/000019_refined_query_edges.jpg,refined_render/000019_refined_render.jpg,7.017464361103823,177.9602102894089,1.245568037033081,0.7575446789010846
000020.jpg,alpha/000020_refined_query_alpha.jpg,edges/000020_refined_query_edges.jpg,refined_render/000020_refined_render.jpg,7.087924062984345,177.96053504766093,1.2184832096099854,0.7600350761810808
000021.jpg,alpha/000021_refined_query_alpha.jpg,edges/000021_refined_query_edges.jpg,refined_render/000021_refined_render.jpg,7.305824028591376,177.97054483416423,1.226978063583374,0.7599178910976664
000022.jpg,alpha/000022_refined_query_alpha.jpg,edges/000022_refined_query_edges.jpg,refined_render/000022_refined_render.jpg,7.302903419935631,177.96355830104403,1.2615941762924194,0.7516022528646339
